"BILAN AU 30 JUIN 2020","","(En milliers de DH)","COMPTE DE PRODUITS ET CHARGES AU 30/06/2020","","(En milliers de DH)","ÉTAT DES SOLDES DE GESTION AU 30 JUIN 2020","","(En milliers de DH)"
"","","","Récupérations sur créances amorties","4 828","21 207","+ Dotations aux amortissements et aux provisions des","66 319","62 260"
". À terme","1 300 535","1 974 626","Autres reprises de provisions","8 297","22 409","immobilisations incorporelles et corporelles","",""
"Dépôts de la clientèle","43 894 093","43 162 853","RÉSULTAT COURANT","231 029","390 428","+ Dotations aux provisions pour dépréciation des immobilisations","3 117","2 193"
". Comptes à vue créditeurs","29 874 047","29 216 144","Produits non courants","569","162","financières","",""
". Comptes d'épargne","9 771 292","9 821 655","Charges non courantes*","112 568","24 569","+ Dotations aux provisions pour risques généraux","144 315","78 750"
". Dépôts à terme","3 028 720","3 134 563","RÉSULTAT AVANT IMPÔTS SUR LES RÉSULTATS","119 031","366 022","+ Dotations aux provisions réglementées","-","-"
". Autres comptes créditeurs","1 206 128","967 989","Impôts sur les résultats","82 126","143 849","+ Dotations non courantes","-","-"
"","","","RÉSULTAT NET DE L'EXERCICE","36 905","222 173","- Reprises de provisions","-","20 274"
". Dettes envers la clientèle sur produits participatifs","13 905","22 502","","","","- Plus-values de cession sur immob. incorporelles et corporelles","-","11 443"
"Titres de créance émis","1 839 096","2 067 676","","*  Sur Instruction de BAM du 8 mai courant, le don Covid est constaté comptablement parmi les charges non","","+ Moins-values de cession sur immob. incorporelles et corporelles","-","8 352"
". Titres de créance négociables","1 839 096","2 067 676","","courantes de l’exercice 2020 dans son intégralité, en cohérence avec les comptes consolidés IAS/IFRS et","","- Plus-values de cession sur immobilisations financières","-","-"
". Emprunts obligataires","-","-","","le traitement prudentiel en solvabilité. Conformément au communiqué de l’administration fiscale de mars","","+ Moins-values de cession sur immobilisations financières","-","-"
". Autres titres de créance émis","-","-","courant, ce don revêt le caractère de charge comptable déductible du résultat fiscal.","","","- Reprises de subventions d'investissement reçues","-","-"
"Autres passifs","845 602","906 526","","","","+ CAPACITÉ D'AUTOFINANCEMENT","250 656","342 011"
"Provisions pour risques et charges","1 395 918","1 224 770","","","","- Bénéfices distribués","-","-"
"Provisions réglementées","-","-","","","","AUTOFINANCEMENT","250 656","342 011"
"Subventions, fonds publics affectés et fonds spéciaux de garantie","-","-","","","","","",""
"Dettes subordonnées","1 780 683","1 767 571","CHIFFRE D’AFFAIRES HORS TAXES AU 30 JUIN 2020","","","","ÉTAT A1 - PRINCIPALES MÉTHODES D’ÉVALUATION APPLIQUEES AU",""
"Écarts de réévaluation","-","-","","","(En milliers de DH)","30 JUIN 2020","",""
"Réserves et primes liées au capital","2 625 959","2 625 959","premier semestre 2020
deuxième semestre 2019","premier semestre 2019","","","INDICATION DES METHODES D’ÉVALUATION APPLIQUÉES PAR L’ÉTABLISSEMENT",""
"Capital","1 088 121","1 088 121","1 426 464 
1 433 908","1 463 661","","","Application des méthodes d’évaluation prévues par le plan comptable des établissements de",""
"Actionnaires. Capital non versé (-)","-","-","","","","crédit (P.C.E.C) entré en vigueur depuis le 01/01/2000.","",""
"Report à nouveau (+/-)","1 021 417","818 573","","","","","Les états de synthèse sont présentés conformément aux dispositions du P.C.E.C.",""
"Résultats nets en instance d'affectation (+/-)","-","-","","","","","",""
"Résultat net de l'exercice (+/-)","36 905","406 322","","","","ÉTAT A2- ÉTAT DES DÉROGATIONS AU 30 JUIN 2020","",""
"Total du Passif","56 253 388","56 778 246","","","","","","Influence des dérogations"
"","","","","ÉTAT DES CRÉANCES EN SOUFFRANCE ET DES PROVISIONS","","Justifications 
Indications des dérogations","","sur le patrimoine, la situation"
